County,2009,2010,2011,2012,2013,2014,2015,2016
Albany,8.7,8.4,8.9,8.9,8.5,8.2,8.8,8.7
Allegany,8.9,8.5,9.9,9.7,9.6,9.4,10.7,9.9
Broome,10.7,10.1,10.5,10.2,10.6,10.4,10.9,10.4
Cattaraugus,10.1,10.8,10,9.7,9.9,10.1,11.3,10.1
Cayuga,8.6,9.1,9.2,9.7,8.8,9.4,10.4,9.8
Chautauqua,10,10.7,11.1,10.3,9.8,10.7,11.1,11.7
Chemung,10.7,10.4,10.5,10.7,9.4,10.9,11.5,10.8
Chenango,10.3,10.9,9.9,10.9,10.8,10.6,12.8,12.3
Clinton,7.9,7.9,8.4,8.8,8.1,8.5,8.5,8.7
Columbia,9.8,10.9,10.6,10.1,10.5,10.5,11.5,10.5
Cortland,8.4,8.6,8.7,9.4,8.8,8.5,9.3,9.5
Delaware,11.6,11,10.7,11.6,11.4,11.1,11.1,12.1
Dutchess,7.8,7.4,7.9,7.8,7.9,7.7,7.9,8.5
Erie,10.3,10.1,10.4,10.1,10.5,10.5,10.7,10.6
Essex,10.3,9.6,8.4,11.5,10.4,9.4,11.7,10.9
Franklin,9,7.9,9.6,8.5,7.2,8.3,9.8,8.9
Fulton,10.2,10.1,11.1,11.6,10.8,10.7,11,11.4
Genesee,10.5,10,10.1,10,10.3,10.4,10,10.4
Greene,10.3,10.6,10.3,9.4,9.9,10.8,11.5,10
Hamilton,13.9,11,11.6,11.8,14,14.2,11.2,10.6
Herkimer,10.2,9.5,9.8,10.3,10.4,11,11.9,10.6
Jefferson,7.7,7.8,7.7,7.1,7.3,7.2,7.7,7.5
Lewis,9.7,9.3,8.6,8.6,8.4,8.9,9.6,9.3
Livingston,7.8,8.3,8.4,8.1,8.4,7.5,8.6,8.4
Madison,7.8,8.2,7.9,8.6,8,8.6,8.5,8.8
Monroe,8.4,8.4,8.8,8.6,8.4,8.7,8.9,8.8
Montgomery,11.9,11.3,11.1,12,11.9,11.2,12.3,11.8
Nassau,7.7,7.9,8,8.2,7.8,7.8,8.1,8.1
Niagara,10.7,10.4,10.6,10.5,11.2,10.7,11.1,11.5
Oneida,10.4,10.4,10.4,10.7,10.4,10.5,11.2,10.8
Onondaga,8.7,8.6,8.8,8.8,8.7,9,9.4,9.5
Ontario,9.1,9.1,9.8,9.5,9.2,9.3,9.7,10.1
Orange,6.5,6.6,6.8,6.6,6.8,7,7.1,7.2
Orleans,9.7,9,9,9.9,10.4,10.2,9.7,10.2
Oswego,8.1,8.4,8.2,8.7,8.9,8.9,8.8,9
Otsego,9.6,9.9,9.1,9.7,9.4,9.7,9.7,9.7
Putnam,6.4,6.3,6.2,6.8,6.7,6.2,7.4,7.2
Rensselaer,9.6,9.2,9.3,9.4,9,9.1,9.5,9.2
Rockland,6.7,6.3,6.2,6.7,6.2,6.1,6.6,6.8
St Lawrence,9,9,8.7,9.2,8.7,8,8.4,9
Saratoga,7.7,7.2,7.4,7.6,7.6,7.3,8.1,8.2
Schenectady,9.9,9.4,9.4,9.7,10,9.8,10,9.8
Schoharie,8.6,8.2,7.6,7.4,9.2,9,9.6,8.9
Schuyler,8.9,12.3,11.1,10.3,9.5,9.3,9.9,11.8
Seneca,9.3,9.5,8.5,9.7,8.9,10.3,10.7,10.8
Steuben,9.8,10,9.5,9.7,9.4,10.5,10,10.1
Suffolk,7.4,7.5,7.6,7.7,7.7,7.7,7.9,8.1
Sullivan,9.5,9.2,8.9,9.7,9.1,9.4,9.1,10.2
Tioga,7.9,7.9,8.4,9,6.9,9.2,9,9.6
Tompkins,5.9,6.6,6.2,6.7,6.4,6.6,6.5,6.8
Ulster,8.3,8.3,8.8,8.3,9.2,9,9.7,9.8
Warren,9,9.5,9.5,9.9,10.2,10.5,11.3,10.7
Washington,9.7,9.5,9.6,9.7,8.9,9.7,9.5,10.2
Wayne,8.5,8.6,8.9,8.8,8.9,8.9,9.7,9.8
Westchester,7,7.1,7.3,7.2,7.2,7.1,7.2,7.3
Wyoming,7.9,9.1,8.4,8.8,8.8,8.9,9.5,9.4
Yates,10.1,9,9.5,11,9.8,10.2,10.1,10.2
